Libro Mastro,Categoria,Sottocategoria,Valuta,Prezzo,Conto,Registra,Data,Orario,Tag,Nota,Transazione
Libro Mastro Giornaliero,Regali,Nonna,EUR,10,Portafoglio ,Coggix ,2025-10-07,19:20,,,Entrate
Libro Mastro Giornaliero,Stipendio,Poolymago ,EUR,26,Lavoro,Coggix ,2025-10-04,17:16,,,Entrate
Libro Mastro Giornaliero,Regali,Nonna,EUR,20,Lavoro,Coggix ,2025-10-04,09:58,,,Entrate
Libro Mastro Giornaliero,Veicoli,Benzina,EUR,5,Portafoglio ,Coggix ,2025-10-03,09:46,,,Uscite
Libro Mastro Giornaliero,Regali,Nonna,EUR,5,Portafoglio ,Coggix ,2025-10-02,19:46,,,Entrate
Libro Mastro Giornaliero,Cibo & Bevande,Cena,EUR,5,Portafoglio ,Coggix ,2025-10-01,21:55,,,Uscite
Libro Mastro Giornaliero,Salute,Calcio ,EUR,5,Portafoglio ,Coggix ,2025-10-01,21:03,,,Uscite
Libro Mastro Giornaliero,Regali,Nonna,EUR,10,Portafoglio ,Coggix ,2025-09-30,19:57,,Cosa,Entrate
Libro Mastro Giornaliero,Regali,Nonna,EUR,9,Lavoro,Coggix ,2025-09-29,14:52,,,Entrate
Libro Mastro Giornaliero,Stipendio,Calamoresca ,EUR,25,Lavoro,Coggix ,2025-09-28,16:55,,,Entrate
Libro Mastro Giornaliero,Stipendio,Calamoresca ,EUR,25,Lavoro,Coggix ,2025-09-28,13:21,,,Entrate
Libro Mastro Giornaliero,Stipendio,,EUR,105,Lavoro,Coggix ,2025-09-27,13:14,,,Entrate
